"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"built_density",10,"built_density->LST",0.125536100117605,0.0821572264700279,0.168440213334393,1.77171524118336e-08,2000,89.4143123511111,TRUE
"built_density",20,"built_density->LST",0.203669825029648,0.161278632934584,0.245310858224229,0,2000,89.4143123511111,TRUE
"built_density",30,"built_density->LST",0.281960904255243,0.241109752872529,0.321814655272376,0,2000,89.4143123511111,TRUE
"built_density",40,"built_density->LST",0.348970254683802,0.309879137806836,0.386883536024021,0,2000,89.4143123511111,TRUE
"built_density",50,"built_density->LST",0.400755316969342,0.36330602885874,0.436911686425317,0,2000,89.4143123511111,TRUE
"built_density",60,"built_density->LST",0.431204238079724,0.394835733942005,0.466223507310349,0,2000,89.4143123511111,TRUE
"built_density",70,"built_density->LST",0.453452305515172,0.417927786878701,0.487592226864468,0,2000,89.4143123511111,TRUE
"built_density",80,"built_density->LST",0.470202954726265,0.435344220071504,0.503653866234381,0,2000,89.4143123511111,TRUE
"built_density",90,"built_density->LST",0.483158146846633,0.448832257080847,0.516060329425591,0,2000,89.4143123511111,TRUE
"built_density",100,"built_density->LST",0.487444029789962,0.45329786331141,0.520161643158088,0,2000,89.4143123511111,TRUE
"built_density",110,"built_density->LST",0.489875129404412,0.455831670252477,0.522487378270345,0,2000,89.4143123511111,TRUE
"built_density",120,"built_density->LST",0.492740439963512,0.458818740943208,0.525227882619104,0,2000,89.4143123511111,TRUE
"built_density",10,"LST->built_density",0.0185907285541211,-0.0252607878142996,0.0623708383821077,0.405999227640537,2000,89.4143123511111,FALSE
"built_density",20,"LST->built_density",0.0391683707296117,-0.00467058029974556,0.082857055520001,0.0799046320699381,2000,89.4143123511111,FALSE
"built_density",30,"LST->built_density",0.0598121968562658,0.0160232712131266,0.103372126611267,0.0074594263832366,2000,89.4143123511111,FALSE
"built_density",40,"LST->built_density",0.0678087692826889,0.0240493141271824,0.1113088784025,0.00241256809652213,2000,89.4143123511111,FALSE
"built_density",50,"LST->built_density",0.0740205313546579,0.030287864324738,0.117470344511502,0.000923754492477613,2000,89.4143123511111,FALSE
"built_density",60,"LST->built_density",0.0742111545760142,0.0304793635048955,0.117659371389326,0.000895897631303821,2000,89.4143123511111,FALSE
"built_density",70,"LST->built_density",0.0771925789649786,0.033474906081604,0.120615418657484,0.000549976340530112,2000,89.4143123511111,FALSE
"built_density",80,"LST->built_density",0.0884760862464369,0.044818961059836,0.131795915726826,7.43030397378774e-05,2000,89.4143123511111,FALSE
"built_density",90,"LST->built_density",0.11399492973168,0.0705163322323839,0.157041205348863,3.19626223710401e-07,2000,89.4143123511111,FALSE
"built_density",100,"LST->built_density",0.149795370191099,0.106664763269178,0.192363308677471,1.66331393103292e-11,2000,89.4143123511111,FALSE
"built_density",110,"LST->built_density",0.185882360562404,0.14321828417198,0.227856852912739,0,2000,89.4143123511111,FALSE
"built_density",120,"LST->built_density",0.205095394185078,0.162727302273733,0.246708534923698,0,2000,89.4143123511111,FALSE
"green_density",10,"green_density->LST",0.0650942765993151,0.0213241849036049,0.108615314233251,0.00358693270060373,2000,453.809918393044,TRUE
"green_density",20,"green_density->LST",0.109118981953286,0.0656018087734622,0.152221869852876,1.00064989450033e-06,2000,453.809918393044,TRUE
"green_density",30,"green_density->LST",0.15867752255369,0.115650940328989,0.201109740209418,9.53237488943159e-13,2000,453.809918393044,TRUE
"green_density",40,"green_density->LST",0.21085940236686,0.168586574539654,0.252358000911083,0,2000,453.809918393044,TRUE
"green_density",50,"green_density->LST",0.243734668523429,0.202062392228864,0.284525976628473,0,2000,453.809918393044,TRUE
"green_density",60,"green_density->LST",0.269458938233918,0.228324665233811,0.309632909115284,0,2000,453.809918393044,TRUE
"green_density",70,"green_density->LST",0.289869643175692,0.249204923078978,0.329514015627811,0,2000,453.809918393044,TRUE
"green_density",80,"green_density->LST",0.303157175029125,0.262818485516569,0.342437908581771,0,2000,453.809918393044,TRUE
"green_density",90,"green_density->LST",0.31169263276072,0.271571854724466,0.350731943179398,0,2000,453.809918393044,TRUE
"green_density",100,"green_density->LST",0.320705182265614,0.280821706217725,0.359482932616622,0,2000,453.809918393044,TRUE
"green_density",110,"green_density->LST",0.32934716088466,0.289698193522732,0.367867704976689,0,2000,453.809918393044,TRUE
"green_density",120,"green_density->LST",0.341119014734877,0.301800471323917,0.379279130964388,0,2000,453.809918393044,TRUE
"green_density",10,"LST->green_density",0.0293305302666789,-0.0145190678633326,0.0730675284264028,0.189802627170891,2000,453.809918393044,FALSE
"green_density",20,"LST->green_density",0.050640972558993,0.00682518938811823,0.094262675894885,0.0235267709008196,2000,453.809918393044,FALSE
"green_density",30,"LST->green_density",0.0614901824523079,0.0177069731498829,0.105038019559773,0.00594483717237537,2000,453.809918393044,FALSE
"green_density",40,"LST->green_density",0.0785824221074283,0.0348715991393924,0.121993168694513,0.000435540248613808,2000,453.809918393044,FALSE
"green_density",50,"LST->green_density",0.0955508257640559,0.0519374112497973,0.138800450762751,1.86651945157656e-05,2000,453.809918393044,FALSE
"green_density",60,"LST->green_density",0.112855494344645,0.0693676932689634,0.155915182933897,4.1910592996075e-07,2000,453.809918393044,FALSE
"green_density",70,"LST->green_density",0.128889270446897,0.0855415910750449,0.17174992986664,7.2666690442702e-09,2000,453.809918393044,FALSE
"green_density",80,"LST->green_density",0.134314493849058,0.0910194042302848,0.177102799370031,1.63640967443257e-09,2000,453.809918393044,FALSE
"green_density",90,"LST->green_density",0.137776543413978,0.094516383339673,0.180517354426133,6.12306649827588e-10,2000,453.809918393044,FALSE
"green_density",100,"LST->green_density",0.144058147899138,0.100864091605162,0.186710154725791,9.65640900574272e-11,2000,453.809918393044,FALSE
"green_density",110,"LST->green_density",0.152716402266332,0.109619228108677,0.195240453427633,6.61559695913638e-12,2000,453.809918393044,FALSE
"green_density",120,"LST->green_density",0.16435243535604,0.121396005611679,0.206694399311083,1.40554234917545e-13,2000,453.809918393044,FALSE
"distance_to_water",10,"distance_to_water->LST",0.0883023434678073,0.0446442005825931,0.131623842602051,7.67725066785907e-05,2000,53.6393197401312,TRUE
"distance_to_water",20,"distance_to_water->LST",0.120429350781329,0.0770048908249209,0.163397783197716,6.58768160022305e-08,2000,53.6393197401312,TRUE
"distance_to_water",30,"distance_to_water->LST",0.16239411644545,0.119413152963443,0.204767537186864,2.74225087082414e-13,2000,53.6393197401312,TRUE
"distance_to_water",40,"distance_to_water->LST",0.214844718976909,0.172639505698915,0.256262467831741,0,2000,53.6393197401312,TRUE
"distance_to_water",50,"distance_to_water->LST",0.236040991504756,0.194219433074292,0.277006048159191,0,2000,53.6393197401312,TRUE
"distance_to_water",60,"distance_to_water->LST",0.244439214243249,0.202780875646832,0.28521436058635,0,2000,53.6393197401312,TRUE
"distance_to_water",70,"distance_to_water->LST",0.265444644572288,0.224222470039279,0.305718636767801,0,2000,53.6393197401312,TRUE
"distance_to_water",80,"distance_to_water->LST",0.29660456263294,0.256103086542507,0.336066478278968,0,2000,53.6393197401312,TRUE
"distance_to_water",90,"distance_to_water->LST",0.33142376519492,0.291832165401834,0.369881571492079,0,2000,53.6393197401312,TRUE
"distance_to_water",100,"distance_to_water->LST",0.362647554585491,0.323966121940345,0.400118530941194,0,2000,53.6393197401312,TRUE
"distance_to_water",110,"distance_to_water->LST",0.391625362489852,0.353868693867521,0.42810769600619,0,2000,53.6393197401312,TRUE
"distance_to_water",120,"distance_to_water->LST",0.400986528661172,0.363545124630154,0.437134553333562,0,2000,53.6393197401312,TRUE
"distance_to_water",10,"LST->distance_to_water",0.0493444199055045,0.00552543774680191,0.0929742666923777,0.0273340320621223,2000,53.6393197401312,FALSE
"distance_to_water",20,"LST->distance_to_water",0.083891767497488,0.0402086843762449,0.127254777398479,0.000172629426361759,2000,53.6393197401312,FALSE
"distance_to_water",30,"LST->distance_to_water",0.126007211213355,0.0826326598751144,0.168905277711099,1.56536625883774e-08,2000,53.6393197401312,FALSE
